Id,Text
918873466610290689,Oh Sunil 😢🇺🇸 https://t.co/5qGSqGSNiO
918877481138089985,Awesome maddie b! Proud of ya😁 https://t.co/7aWer0kwwZ
918877556517912576,@OMGLEZY I imagine now more than ever.. :/
918862698024071169,Kenyans chanting anti-Raila songs outside @ChathamHouse! Imagine being hated in and outside your country.… https://t.co/oI9m5hnCdv
918877417317568517,Coach @mparsons_1 and captain @sincy12 are speaking live ahead of the @NWSL Championship. #BAONPDX https://t.co/t6nJRzLh1Y
918877459944271874,#Trump Forgets To Sign Executive Order (by @vicbergeriv) @superdeluxe 🙄 #BRUH #UnFit @ Savannah … https://t.co/5G3BGxATMX
918875331964137472,Once again! Trump Pence by violating this statue of Constitution #Title 18 part 1 chapter 11-227 Trump/Pence should… https://t.co/wNVYN2qzed
918877490029973504,Friday the 13th watch my boy main event fight on lfafighting @curtiouscurtis 🥊👊🥋 #lfa #mma #ufc… https://t.co/swDLEiovaS
918877508799488000,Happy birthday Megan!! Have a good day 💗💗 @megan_meyer15
918877419511078917,@minajhouse Wtf. She crazy lmao
918877545793126400,Bent over?  😬 https://t.co/yXUcxmxLun
918877484652945408,Had the honor of talking with brutestrength_ @MichaelCazayoux @GarrettsFight talks his passion… https://t.co/cLwBoBAQZF
918877423785140226,@XXL HAVIN A JOB IS TOO POSITIVE?? THERE'S A DIFF BETWEEN BEING STAND UP &amp; BEING A SUCKA! WE ALL CAN'T GO TO JAIL &amp;… https://t.co/ULhDeFbNjM
918877517464956928,#DCMA needs a #Contract Price/Cost #Analyst in #Hazelwood  MO! https://t.co/aPRoENEUVb  @NCMA @Prospanica @NAWMBA @nbmbaahq @FedsHireVets
918877559156330496,@DrMartyFox @carrieksada @RepMiaLove Yup  primary focus of Dems at election time has always been identity politics...
918877535072550912,All I really want is to cuddle my puppy nonstop and listen to @myMotorhead and possibly eat a whole jar of peanut butter w/ my finger
918877415757135872,If you're looking for work in #EastPeoria  IL  check out this #job: https://t.co/FKra9ZmPSq #Retail #Hiring #CareerArc
918877472900435969,‘every part of me tethered to what we used to be..🎶’ #GOODBYEFROMLONELY https://t.co/B9099O5vkg
918877502642229248,@NachYoThoughts They in the comment section rn going crazy smh . You ain’t missing nothing G
918832093299396608,Especially that Exclusive song
918877404914962436,NEW &amp; HOT! Available in Le Ciel Blue or French White. https://t.co/qQmqOkeq4O  #HomeDecor #InteriorDesign #Lighting… https://t.co/baeg1Wt7PP
918876354745057282,Happy Birthday  @baylee_sims hope you have a great one ☺️🤤
918877462934753281,Update: bought it. https://t.co/so9obvk4zs
918877469750411265,Want to work in #Branson  MO? View our latest opening: https://t.co/bzTkhkY7m0 #Retail #Job #Jobs #Hiring #CareerArc
918877508136607745,@djsethduncan Pssssssssst... Hamburger earmuffs.
918877532656717825,Dang that's a cool car https://t.co/8Q7V4bqsui
918516828221063168,ICYMI: Report: Drake Stayed Overnight at the Hospital For Odell Beckham’s Surgery https://t.co/R0yc34fSYf  … https://t.co/tIsOLgvwZZ
918877473408012288,'sensational' is now trending in #Memphis  https://t.co/KXzGSBK88b https://t.co/ioZ8VloZOu
